epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.082,1.2296,1.54781,1.21678,0.9553,0.91088,0.94779,0.58278,1.31314,0.78115,1.22069,0.00333082,0.00333082,0.00333082
2,780.156,1.22739,0.83915,1.21483,0.96218,0.90702,0.95339,0.59671,1.33845,0.69598,1.28946,0.0065322,0.0065322,0.0065322
3,1147.04,1.27145,0.80751,1.25744,0.92894,0.85178,0.91444,0.5588,1.37656,0.81021,1.34136,0.00960158,0.00960158,0.00960158
4,1517.28,1.27674,0.78822,1.28091,0.95231,0.89775,0.94362,0.59374,1.33347,0.67331,1.30961,0.009406,0.009406,0.009406
5,1895.17,1.23726,0.72098,1.25851,0.94301,0.91932,0.94737,0.59359,1.31294,0.59103,1.28532,0.009208,0.009208,0.009208
6,2263.01,1.21054,0.69004,1.242,0.97825,0.92821,0.96637,0.62124,1.29089,0.553,1.26523,0.00901,0.00901,0.00901
7,2630.33,1.19981,0.66463,1.23299,0.96875,0.93069,0.96093,0.64155,1.2269,0.54057,1.24281,0.008812,0.008812,0.008812
8,2997.82,1.17695,0.64165,1.21825,0.96439,0.9348,0.9671,0.63509,1.27686,0.53762,1.25134,0.008614,0.008614,0.008614
9,3364.81,1.15724,0.61841,1.2061,0.96658,0.93246,0.96603,0.63156,1.26189,0.5321,1.23782,0.008416,0.008416,0.008416
10,3738.88,1.15067,0.60877,1.20459,0.96821,0.94275,0.97466,0.65795,1.19142,0.49471,1.20263,0.008218,0.008218,0.008218
11,4126.13,1.13967,0.59382,1.19807,0.96416,0.93762,0.96395,0.65085,1.21198,0.49454,1.21018,0.00802,0.00802,0.00802
12,4509.49,1.13316,0.58524,1.19211,0.96841,0.93715,0.96926,0.66192,1.17693,0.49331,1.18963,0.007822,0.007822,0.007822
13,4891.97,1.12354,0.57601,1.18612,0.97616,0.94119,0.97385,0.65835,1.20603,0.4775,1.19988,0.007624,0.007624,0.007624
14,5275.88,1.11852,0.56765,1.18177,0.97351,0.94799,0.97579,0.67647,1.15634,0.45697,1.17959,0.007426,0.007426,0.007426
15,5659.9,1.1081,0.56098,1.181,0.97203,0.947,0.97607,0.67782,1.151,0.45857,1.17579,0.007228,0.007228,0.007228
16,6042.52,1.10003,0.55558,1.17143,0.97898,0.93914,0.97758,0.67525,1.15583,0.44503,1.17414,0.00703,0.00703,0.00703
17,6425.43,1.09852,0.54566,1.17276,0.97935,0.95169,0.97875,0.6835,1.13495,0.44302,1.16252,0.006832,0.006832,0.006832
18,6805.67,1.08988,0.53701,1.16167,0.97665,0.95075,0.97414,0.67916,1.14816,0.44168,1.1757,0.006634,0.006634,0.006634
19,7187.05,1.08604,0.52783,1.16484,0.97748,0.95356,0.97911,0.68989,1.13495,0.42561,1.16579,0.006436,0.006436,0.006436
20,7570.15,1.07397,0.52528,1.1592,0.97894,0.95356,0.98111,0.69145,1.12348,0.41815,1.156,0.006238,0.006238,0.006238
21,7954.17,1.07553,0.51855,1.15951,0.97266,0.95826,0.98131,0.69027,1.13816,0.41398,1.16691,0.00604,0.00604,0.00604
22,8338.16,1.06277,0.51298,1.15156,0.97598,0.95283,0.98162,0.69241,1.12759,0.4144,1.16263,0.005842,0.005842,0.005842
23,8721.69,1.06101,0.50887,1.14907,0.97597,0.95265,0.97965,0.69339,1.12646,0.41413,1.15668,0.005644,0.005644,0.005644
24,9105.66,1.05323,0.50254,1.14293,0.97656,0.95638,0.98138,0.69629,1.11993,0.40506,1.15302,0.005446,0.005446,0.005446
